,Gene,RNA tissue category,RNA TS TPM
1336,CDHR3,Tissue enriched,fallopian tube: 147.1
1337,CDHR4,Tissue enriched,fallopian tube: 105.0
1338,CDHR5,Group enriched,colon: 41.7;duodenum: 82.7;kidney: 23.6;liver: 21.0;rectum: 54.3;small intestine: 64.3
1339,CDK15,Tissue enhanced,epididymis: 21.2;ovary: 8.4
1340,CDK5R1,Tissue enriched,cerebral cortex: 98.4
1341,CDK5R2,Tissue enriched,cerebral cortex: 52.1
1342,CDKL2,Tissue enhanced,testis: 33.1
1343,CDKL3,Tissue enriched,testis: 28.9
1344,CDKL4,Tissue enriched,testis: 5.3
1345,CDKL5,Tissue enhanced,cerebral cortex: 31.0
1346,CDKN1C,Tissue enhanced,placenta: 202.5
1347,CDKN2D,Tissue enhanced,bone marrow: 181.1
1348,CDKN3,Tissue enriched,testis: 342.6
1349,CDNF,Tissue enhanced,testis: 20.1
1350,CDO1,Tissue enhanced,epididymis: 137.5;liver: 209.9
1351,CDON,Tissue enhanced,thyroid gland: 75.5
1352,CDR1,Group enriched,cerebral cortex: 48.4;skin: 12.1
1353,CDRT1,Tissue enhanced,testis: 20.3
1354,CDRT15,Tissue enhanced,testis: 11.5
1355,CDRT15L2,Tissue enriched,testis: 13.2
1356,CDRT4,Tissue enhanced,epididymis: 30.3
1357,CDSN,Tissue enriched,skin: 77.0
1358,CDT1,Tissue enhanced,bone marrow: 20.4
1359,CDX1,Group enriched,colon: 129.9;duodenum: 64.5;rectum: 134.7;small intestine: 104.9
1360,CDX2,Group enriched,colon: 30.8;duodenum: 22.3;rectum: 24.9;small intestine: 30.2
1361,CDX4,Tissue enriched,skin: 1.3
1362,CDY1,Tissue enriched,testis: 1.0
1363,CDY1B,Tissue enriched,testis: 4.0
1364,CDY2A,Group enriched,epididymis: 1.3;testis: 3.5
1365,CEACAM1,Tissue enhanced,colon: 202.3;rectum: 130.6
1366,CEACAM18,Group enriched,duodenum: 10.5;small intestine: 7.2
1367,CEACAM20,Group enriched,duodenum: 38.8;prostate: 14.3;small intestine: 42.7
1368,CEACAM21,Tissue enhanced,bone marrow: 11.0
1369,CEACAM3,Tissue enriched,bone marrow: 28.5
1370,CEACAM4,Group enriched,appendix: 6.7;bone marrow: 13.9;spleen: 9.0
1371,CEACAM5,Tissue enhanced,colon: 1012.7;rectum: 1086.0
1372,CEACAM6,Group enriched,bone marrow: 110.7;colon: 180.6;esophagus: 173.5;gallbladder: 189.0;lung: 405.6;rectum: 233.8
1373,CEACAM7,Group enriched,colon: 583.2;rectum: 691.9
1374,CEACAM8,Tissue enriched,bone marrow: 142.1
1375,CEBPE,Tissue enriched,bone marrow: 26.0
1376,CECR2,Tissue enhanced,cerebral cortex: 7.8
1377,CECR6,Group enriched,cerebral cortex: 15.0;prostate: 10.8
1378,CEL,Tissue enriched,pancreas: 23233.0
1379,CELA1,Tissue enhanced,adrenal gland: 2.5;pancreas: 1.3
1380,CELA2A,Tissue enriched,pancreas: 34335.1
1381,CELA2B,Tissue enriched,pancreas: 4261.7
1382,CELA3A,Tissue enriched,pancreas: 56987.6
1383,CELA3B,Tissue enriched,pancreas: 10568.2
1384,CELF3,Group enriched,adrenal gland: 15.2;cerebral cortex: 51.7
1385,CELF4,Tissue enriched,cerebral cortex: 126.9
1386,CELF5,Tissue enriched,cerebral cortex: 38.1
1387,CELSR2,Tissue enhanced,cerebral cortex: 45.1
1388,CELSR3,Group enriched,adrenal gland: 1.6;cerebral cortex: 5.9;testis: 3.5
1389,CEMIP,Tissue enhanced,endometrium: 53.2
1390,CEND1,Tissue enriched,cerebral cortex: 113.9
1391,CENPA,Tissue enhanced,lymph node: 7.4
1392,CENPF,Tissue enhanced,bone marrow: 17.7;testis: 18.8
1393,CENPH,Tissue enhanced,testis: 53.9
1394,CENPJ,Tissue enhanced,testis: 42.8
1395,CENPL,Tissue enhanced,testis: 18.2
1396,CENPM,Tissue enhanced,lymph node: 28.6
1397,CENPP,Tissue enhanced,skin: 25.2
1398,CENPU,Tissue enhanced,bone marrow: 45.6;testis: 67.6
1399,CENPVL1,Tissue enhanced,testis: 3.0
1400,CENPVL2,Tissue enhanced,testis: 3.0
1401,CEP112,Tissue enriched,testis: 86.4
1402,CEP126,Tissue enhanced,testis: 17.6
1403,CEP152,Tissue enhanced,testis: 18.1
1404,CEP170,Tissue enhanced,testis: 130.5
1405,CEP19,Tissue enhanced,testis: 18.0
1406,CEP295NL,Tissue enriched,testis: 40.5
1407,CEP41,Tissue enhanced,testis: 80.5
1408,CEP55,Tissue enhanced,testis: 39.4
1409,CEP72,Tissue enhanced,testis: 10.4
1410,CEP78,Tissue enhanced,testis: 30.7
1411,CEP85,Tissue enhanced,skeletal muscle: 48.1;testis: 52.4
1412,CEP85L,Tissue enhanced,testis: 53.7
1413,CER1,Tissue enriched,epididymis: 1.3
1414,CERKL,Tissue enhanced,lymph node: 24.1
1415,CERS1,Group enriched,cerebral cortex: 136.3;testis: 28.0
1416,CERS3,Group enriched,esophagus: 48.1;skin: 60.5;testis: 32.3;tonsil: 14.3
1417,CES1,Group enriched,gallbladder: 399.2;liver: 1099.9;lung: 229.9
1418,CES3,Tissue enhanced,colon: 37.2;duodenum: 30.5;rectum: 34.1
1419,CES4A,Group enriched,fallopian tube: 28.9;skin: 9.2
1420,CES5A,Tissue enriched,epididymis: 79.9
1421,CETN1,Tissue enriched,testis: 142.4
1422,CETN3,Tissue enriched,testis: 225.8
1423,CETP,Group enriched,adipose tissue: 36.9;liver: 21.7;lymph node: 46.3;placenta: 50.4;spleen: 77.7
1424,CFAP100,Group enriched,fallopian tube: 43.4;testis: 34.5
1425,CFAP126,Tissue enriched,fallopian tube: 228.1
1426,CFAP157,Tissue enriched,fallopian tube: 94.5
1427,CFAP161,Tissue enhanced,fallopian tube: 24.8;testis: 11.5
1428,CFAP206,Group enriched,fallopian tube: 35.9;testis: 106.8
1429,CFAP221,Tissue enhanced,fallopian tube: 41.9;testis: 44.7
1430,CFAP43,Group enriched,fallopian tube: 78.0;testis: 103.2
1431,CFAP44,Tissue enhanced,testis: 14.4
1432,CFAP45,Group enriched,fallopian tube: 71.3;testis: 38.9
1433,CFAP46,Tissue enhanced,fallopian tube: 11.7;skeletal muscle: 11.4;testis: 23.8
1434,CFAP47,Tissue enriched,fallopian tube: 7.5
1435,CFAP52,Group enriched,fallopian tube: 91.8;testis: 22.0
1436,CFAP53,Group enriched,fallopian tube: 44.6;testis: 127.0
1437,CFAP54,Tissue enhanced,testis: 11.0
1438,CFAP57,Group enriched,fallopian tube: 35.6;testis: 27.7
1439,CFAP58,Group enriched,fallopian tube: 13.3;testis: 23.5
1440,CFAP61,Group enriched,fallopian tube: 20.3;heart muscle: 8.5;testis: 29.5
1441,CFAP65,Group enriched,fallopian tube: 41.2;testis: 17.7
1442,CFAP69,Tissue enhanced,prostate: 25.2
1443,CFAP70,Tissue enhanced,fallopian tube: 23.4;testis: 37.6
1444,CFAP73,Tissue enriched,fallopian tube: 60.1
1445,CFAP74,Tissue enhanced,fallopian tube: 9.6;testis: 8.5
1446,CFAP77,Group enriched,fallopian tube: 48.8;testis: 22.9
1447,CFAP99,Group enriched,fallopian tube: 7.0;testis: 11.3
1448,CFB,Tissue enriched,liver: 285.9
1449,CFC1,Tissue enhanced,pancreas: 4.1;prostate: 10.4;stomach: 8.0
1450,CFD,Tissue enriched,adipose tissue: 378.5
1451,CFH,Tissue enhanced,liver: 839.5
1452,CFHR1,Tissue enriched,liver: 1057.6
1453,CFHR2,Tissue enriched,liver: 466.1
1454,CFHR3,Tissue enriched,liver: 314.2
1455,CFHR4,Tissue enriched,liver: 78.3
1456,CFHR5,Tissue enriched,liver: 88.0
1457,CFI,Tissue enhanced,liver: 524.7
1458,CFP,Tissue enhanced,bone marrow: 58.1;spleen: 76.6
1459,CFTR,Tissue enhanced,gallbladder: 89.3
1460,CGA,Tissue enriched,placenta: 654.5
1461,CGB3,Tissue enriched,placenta: 14.9
1462,CGB5,Tissue enriched,placenta: 31.7
1463,CGB7,Tissue enhanced,skin: 3.8
1464,CGB8,Tissue enriched,placenta: 29.2
1465,CGN,Tissue enhanced,parathyroid gland: 73.4
1466,CGREF1,Tissue enhanced,cerebral cortex: 44.7
1467,CH17-140K24.8,Tissue enhanced,epididymis: 1.5
1468,CH17-296N19.1,Tissue enriched,bone marrow: 7.3
1469,CH17-360D5.1,Tissue enhanced,colon: 3.0;rectum: 2.4
1470,CH507-152C13.3,Tissue enriched,kidney: 57.2
1471,CH507-396I9.3,Group enriched,breast: 1.5;fallopian tube: 1.4;kidney: 4.3
1472,CH507-9B2.2,Tissue enhanced,kidney: 1.8;liver: 2.7
1473,CHAC1,Tissue enhanced,esophagus: 25.5
1474,CHAD,Tissue enhanced,"cervix, uterine: 31.8"
1475,CHADL,Tissue enhanced,cerebral cortex: 28.4
1476,CHAT,Tissue enriched,placenta: 7.2
1477,CHD5,Tissue enriched,cerebral cortex: 42.1
1478,CHDH,Tissue enhanced,kidney: 40.1
1479,CHEK1,Tissue enhanced,parathyroid gland: 62.5;seminal vesicle: 52.6
1480,CHGA,Tissue enriched,parathyroid gland: 7061.6
1481,CHGB,Tissue enriched,adrenal gland: 4382.4
1482,CHI3L1,Tissue enhanced,appendix: 186.7;cerebral cortex: 267.1;urinary bladder: 179.4
1483,CHI3L2,Tissue enhanced,appendix: 152.3
1484,CHIA,Group enriched,lung: 15.6;stomach: 8.2
1485,CHIT1,Group enriched,"bone marrow: 31.3;breast: 10.9;cervix, uterine: 13.5;lung: 53.2;lymph node: 21.0"
1486,CHL1,Tissue enriched,cerebral cortex: 111.8
1487,CHMP7,Tissue enhanced,lymph node: 38.5
1488,CHN1,Group enriched,cerebral cortex: 639.0;parathyroid gland: 133.3
1489,CHN2,Tissue enhanced,duodenum: 74.8;small intestine: 68.4
1490,CHODL,Tissue enhanced,spleen: 19.5;testis: 57.6
1491,CHP2,Group enriched,colon: 119.1;duodenum: 252.0;rectum: 127.6;skin: 143.8;small intestine: 227.3
1492,CHRDL1,Tissue enhanced,seminal vesicle: 386.7
1493,CHRDL2,Group enriched,appendix: 157.7;endometrium: 128.3;gallbladder: 168.5;smooth muscle: 183.1;urinary bladder: 43.5
1494,CHRFAM7A,Tissue enhanced,parathyroid gland: 5.0;testis: 5.4
1495,CHRM1,Group enriched,cerebral cortex: 39.9;prostate: 42.3;salivary gland: 11.0
1496,CHRM2,Tissue enhanced,gallbladder: 18.3;heart muscle: 25.8;smooth muscle: 13.7
1497,CHRM3,Tissue enhanced,cerebral cortex: 15.7
1498,CHRM4,Tissue enhanced,cerebral cortex: 8.1;small intestine: 7.8;spleen: 21.4
1499,CHRM5,Tissue enhanced,cerebral cortex: 3.1;testis: 3.4
1500,CHRNA1,Tissue enhanced,prostate: 3.2;skeletal muscle: 7.2
1501,CHRNA10,Tissue enriched,skeletal muscle: 16.6
1502,CHRNA2,Tissue enriched,prostate: 46.8
1503,CHRNA3,Tissue enriched,adrenal gland: 48.0
1504,CHRNA4,Tissue enhanced,cerebral cortex: 6.9;parathyroid gland: 17.4
1505,CHRNA7,Tissue enhanced,adrenal gland: 9.4;small intestine: 10.4
1506,CHRNA9,Tissue enhanced,fallopian tube: 1.1
1507,CHRNB2,Tissue enriched,cerebral cortex: 21.2
1508,CHRNB3,Tissue enhanced,testis: 2.6
1509,CHRNB4,Tissue enhanced,adrenal gland: 3.2;testis: 5.3
1510,CHRND,Tissue enriched,skeletal muscle: 9.6
1511,CHRNE,Tissue enriched,heart muscle: 33.9
1512,CHRNG,Tissue enriched,skeletal muscle: 8.2
1513,CHST1,Tissue enhanced,cerebral cortex: 49.0;parathyroid gland: 19.1
1514,CHST10,Tissue enhanced,cerebral cortex: 46.4
1515,CHST13,Tissue enhanced,liver: 5.9;testis: 6.3
1516,CHST4,Tissue enriched,gallbladder: 102.5
1517,CHST5,Group enriched,colon: 45.6;duodenum: 85.9;rectum: 59.7;small intestine: 83.5
1518,CHST6,Tissue enhanced,"cervix, uterine: 16.3;duodenum: 10.6;small intestine: 10.9"
1519,CHST8,Tissue enhanced,cerebral cortex: 2.5
1520,CHST9,Tissue enhanced,fallopian tube: 16.5;testis: 12.7
1521,CHSY3,Tissue enhanced,"cervix, uterine: 7.2"
1522,CIB4,Group enriched,testis: 20.1;thyroid gland: 4.2
1523,CIDEA,Tissue enriched,adipose tissue: 221.8
1524,CIDEC,Tissue enriched,adipose tissue: 761.8
1525,CILP,Tissue enhanced,"cervix, uterine: 67.0;smooth muscle: 70.8"
1526,CILP2,Tissue enhanced,gallbladder: 2.5;testis: 4.2
1527,CISD1,Tissue enhanced,parathyroid gland: 118.3
1528,CITED1,Tissue enriched,epididymis: 1798.6
1529,CKAP2,Tissue enhanced,testis: 58.5
1530,CKAP2L,Tissue enhanced,bone marrow: 8.7;testis: 9.6
1531,CKM,Tissue enriched,skeletal muscle: 23798.9
1532,CKMT1B,Tissue enhanced,colon: 78.0;rectum: 68.4
1533,CKMT2,Group enriched,heart muscle: 710.7;skeletal muscle: 505.3
1534,CKS2,Tissue enhanced,testis: 341.7
1535,CLASP2,Tissue enriched,cerebral cortex: 193.2
1536,CLC,Tissue enriched,bone marrow: 285.9
1537,CLCA1,Group enriched,colon: 699.6;duodenum: 882.2;rectum: 1126.3;small intestine: 1522.4
1538,CLCA2,Group enriched,esophagus: 126.4;skin: 102.7
1539,CLCA4,Group enriched,colon: 249.5;esophagus: 365.5;rectum: 158.4
1540,CLCF1,Tissue enhanced,gallbladder: 26.3
1541,CLCN1,Tissue enriched,skeletal muscle: 22.9
1542,CLCN4,Tissue enhanced,cerebral cortex: 49.1;epididymis: 28.1
1543,CLCN5,Tissue enhanced,epididymis: 33.7;kidney: 52.0
1544,CLCNKA,Group enriched,kidney: 64.2;parathyroid gland: 40.4
1545,CLCNKB,Tissue enhanced,kidney: 107.9
1546,CLDN1,Tissue enhanced,skin: 306.2;smooth muscle: 186.0
1547,CLDN10,Tissue enhanced,kidney: 163.5
1548,CLDN11,Tissue enhanced,cerebral cortex: 89.0;testis: 183.6
1549,CLDN14,Group enriched,kidney: 3.6;liver: 9.5
1550,CLDN15,Group enriched,duodenum: 241.3;small intestine: 183.5
1551,CLDN16,Tissue enriched,kidney: 51.7
1552,CLDN17,Tissue enriched,esophagus: 6.6
1553,CLDN18,Group enriched,lung: 361.8;stomach: 689.7
1554,CLDN19,Group enriched,kidney: 19.7;placenta: 14.5
1555,CLDN2,Tissue enhanced,gallbladder: 159.0;kidney: 171.8;seminal vesicle: 129.3
1556,CLDN22,Tissue enhanced,fallopian tube: 1.0
1557,CLDN23,Tissue enhanced,colon: 23.7;stomach: 24.5
1558,CLDN3,Tissue enhanced,colon: 87.7;small intestine: 119.5
1559,CLDN34,Tissue enriched,testis: 2.3
1560,CLDN5,Tissue enhanced,adipose tissue: 128.2
1561,CLDN6,Tissue enhanced,placenta: 1.0;testis: 1.7
1562,CLDN8,Tissue enhanced,breast: 84.9;kidney: 76.1;rectum: 56.0
1563,CLDN9,Tissue enhanced,parathyroid gland: 3.2
1564,CLDND2,Tissue enhanced,testis: 22.3
1565,CLEC11A,Tissue enhanced,bone marrow: 81.5
1566,CLEC12A,Tissue enhanced,bone marrow: 51.3
1567,CLEC12B,Tissue enhanced,testis: 27.0
1568,CLEC14A,Tissue enhanced,lung: 76.1
1569,CLEC17A,Group enriched,appendix: 16.6;lymph node: 30.4;spleen: 19.2;tonsil: 28.4
1570,CLEC18A,Group enriched,kidney: 15.7;testis: 3.7
1571,CLEC18B,Group enriched,kidney: 30.9;testis: 8.1
1572,CLEC18C,Group enriched,kidney: 11.4;testis: 3.6
1573,CLEC19A,Tissue enriched,cerebral cortex: 3.2
1574,CLEC1A,Tissue enriched,placenta: 71.1
1575,CLEC1B,Tissue enriched,liver: 33.7
1576,CLEC20A,Tissue enriched,testis: 3.3
1577,CLEC2A,Tissue enriched,skin: 67.7
1578,CLEC2D,Tissue enhanced,lymph node: 63.4
1579,CLEC2L,Group enriched,cerebral cortex: 21.0;parathyroid gland: 13.7
1580,CLEC3A,Tissue enhanced,breast: 12.4;urinary bladder: 8.3
1581,CLEC3B,Tissue enhanced,spleen: 303.3
1582,CLEC4A,Tissue enhanced,appendix: 30.7
1583,CLEC4C,Tissue enhanced,lymph node: 6.0;spleen: 4.6;tonsil: 4.5
1584,CLEC4D,Group enriched,appendix: 10.5;bone marrow: 42.8
1585,CLEC4E,Tissue enhanced,appendix: 53.9;bone marrow: 49.6;spleen: 44.0
1586,CLEC4G,Group enriched,adipose tissue: 18.7;liver: 27.6;lymph node: 16.8
1587,CLEC4M,Group enriched,liver: 34.7;lymph node: 20.3;placenta: 12.4
1588,CLEC5A,Tissue enhanced,appendix: 10.6;bone marrow: 27.4
1589,CLEC6A,Tissue enhanced,appendix: 1.5;lung: 1.5
1590,CLEC7A,Tissue enhanced,appendix: 65.6
1591,CLEC9A,Tissue enhanced,lymph node: 7.8;spleen: 6.6
1592,CLECL1,Tissue enhanced,lymph node: 28.7;spleen: 22.6;tonsil: 28.3
1593,CLGN,Tissue enriched,testis: 186.4
1594,CLHC1,Tissue enhanced,testis: 23.1
1595,CLIC3,Tissue enhanced,esophagus: 86.8;thyroid gland: 85.7
1596,CLIC5,Tissue enhanced,lung: 116.1;skeletal muscle: 119.2
1597,CLIC6,Tissue enhanced,stomach: 79.1
1598,CLIP2,Tissue enhanced,cerebral cortex: 75.8
1599,CLIP3,Tissue enhanced,cerebral cortex: 247.6
1600,CLMN,Tissue enhanced,testis: 48.9
1601,CLNK,Tissue enhanced,kidney: 5.8
1602,CLPB,Tissue enriched,testis: 176.6
1603,CLPS,Tissue enriched,pancreas: 56632.1
1604,CLPSL1,Tissue enriched,epididymis: 733.4
1605,CLPSL2,Tissue enriched,epididymis: 713.1
1606,CLRN1,Group enriched,adrenal gland: 6.7;duodenum: 1.5
1607,CLRN3,Group enriched,colon: 69.9;duodenum: 73.3;gallbladder: 23.6;kidney: 44.3;liver: 40.4;rectum: 76.3;small intestine: 97.5
1608,CLSPN,Tissue enhanced,testis: 10.6
1609,CLSTN2,Tissue enhanced,cerebral cortex: 34.6;ovary: 81.6
1610,CLSTN3,Tissue enhanced,cerebral cortex: 126.6
1611,CLTCL1,Tissue enhanced,skeletal muscle: 24.1;testis: 49.4
1612,CLUL1,Tissue enhanced,prostate: 13.9
1613,CLVS1,Tissue enhanced,cerebral cortex: 10.3
1614,CLVS2,Group enriched,cerebral cortex: 15.4;prostate: 5.0
1615,CMA1,Tissue enhanced,breast: 23.8
1616,CMBL,Tissue enhanced,kidney: 315.7
1617,CMTM1,Tissue enriched,testis: 28.7
1618,CMTM2,Tissue enriched,testis: 712.6
1619,CMTM4,Tissue enhanced,thyroid gland: 64.1
1620,CMTM5,Tissue enriched,cerebral cortex: 81.3
1621,CMYA5,Group enriched,heart muscle: 102.2;skeletal muscle: 172.4
1622,CNBD1,Tissue enriched,testis: 11.7
1623,CNBD2,Tissue enhanced,testis: 38.0
1624,CNDP1,Group enriched,cerebral cortex: 101.7;liver: 23.0
1625,CNFN,Group enriched,esophagus: 1158.0;skin: 272.5;tonsil: 260.7
1626,CNGA4,Group enriched,fallopian tube: 27.9;testis: 10.5
1627,CNGB1,Tissue enhanced,adrenal gland: 1.6
1628,CNGB3,Tissue enhanced,bone marrow: 2.7;testis: 3.9
1629,CNIH2,Tissue enriched,cerebral cortex: 52.9
1630,CNIH3,Tissue enhanced,cerebral cortex: 14.7
1631,CNKSR2,Tissue enriched,cerebral cortex: 53.9
1632,CNMD,Tissue enhanced,salivary gland: 3.0;testis: 3.5;thyroid gland: 5.8
1633,CNN1,Tissue enhanced,seminal vesicle: 2110.1;smooth muscle: 3106.1
1634,CNNM1,Tissue enhanced,cerebral cortex: 10.2;testis: 16.8
1635,CNNM2,Tissue enhanced,parathyroid gland: 33.6
1636,CNP,Tissue enriched,cerebral cortex: 614.8
1637,CNPY1,Tissue enhanced,testis: 1.8
1638,CNR1,Tissue enhanced,cerebral cortex: 32.1
1639,CNR2,Group enriched,appendix: 3.1;lymph node: 8.7;spleen: 7.9;tonsil: 6.9
1640,CNRIP1,Tissue enhanced,cerebral cortex: 53.8
1641,CNTD1,Tissue enriched,testis: 73.1
1642,CNTF,Tissue enhanced,fallopian tube: 7.7
1643,CNTFR,Tissue enhanced,adipose tissue: 62.6;cerebral cortex: 53.4
1644,CNTN1,Tissue enhanced,cerebral cortex: 225.5
1645,CNTN2,Tissue enriched,cerebral cortex: 81.7
1646,CNTN3,Tissue enhanced,cerebral cortex: 12.4
1647,CNTN4,Tissue enhanced,parathyroid gland: 48.7
1648,CNTN5,Tissue enhanced,cerebral cortex: 2.6;placenta: 3.4;thyroid gland: 3.0
1649,CNTN6,Tissue enhanced,lung: 4.6;thyroid gland: 17.4
1650,CNTNAP1,Tissue enhanced,cerebral cortex: 61.8;smooth muscle: 38.9
1651,CNTNAP2,Group enriched,cerebral cortex: 17.9;prostate: 6.0
1652,CNTNAP4,Tissue enriched,cerebral cortex: 35.9
1653,CNTNAP5,Tissue enhanced,cerebral cortex: 5.8;gallbladder: 1.6
1654,CNTRL,Tissue enhanced,testis: 65.8
1655,COCH,Group enriched,pancreas: 94.8;prostate: 79.0;seminal vesicle: 99.1
1656,COIL,Tissue enriched,testis: 175.4
1657,COL10A1,Tissue enhanced,gallbladder: 14.5
1658,COL11A1,Tissue enriched,placenta: 27.9
1659,COL11A2,Tissue enhanced,testis: 1.2
1660,COL13A1,Tissue enhanced,epididymis: 32.9
1661,COL14A1,Tissue enhanced,"cervix, uterine: 278.5"
1662,COL15A1,Tissue enhanced,placenta: 312.1
1663,COL17A1,Tissue enriched,skin: 769.3
1664,COL19A1,Tissue enhanced,lymph node: 3.2;tonsil: 2.9
1665,COL20A1,Tissue enriched,cerebral cortex: 16.2
1666,COL21A1,Tissue enhanced,"cervix, uterine: 36.7;placenta: 39.0"
1667,COL22A1,Tissue enhanced,adrenal gland: 9.7
1668,COL23A1,Tissue enhanced,thyroid gland: 57.8
1669,COL25A1,Tissue enhanced,testis: 20.4
1670,COL26A1,Tissue enhanced,cerebral cortex: 10.2;parathyroid gland: 5.4
1671,COL28A1,Tissue enhanced,epididymis: 18.2
1672,COL2A1,Group enriched,epididymis: 23.0;stomach: 6.2
1673,COL3A1,Tissue enhanced,"cervix, uterine: 3796.7;gallbladder: 3334.2;smooth muscle: 3029.8"
1674,COL4A1,Tissue enhanced,placenta: 1237.0
1675,COL4A2,Tissue enhanced,placenta: 829.9
1676,COL4A3,Tissue enhanced,thyroid gland: 26.8
1677,COL5A3,Tissue enhanced,placenta: 47.7
1678,COL6A3,Tissue enhanced,smooth muscle: 557.1
1679,COL6A5,Group enriched,lung: 3.8;skin: 7.4
1680,COL6A6,Tissue enhanced,lung: 11.2
1681,COL7A1,Tissue enriched,skin: 114.5
1682,COL8A1,Tissue enhanced,parathyroid gland: 87.4
1683,COL9A1,Tissue enriched,prostate: 31.4
1684,COL9A2,Tissue enhanced,parathyroid gland: 53.4
1685,COL9A3,Group enriched,cerebral cortex: 7.5;salivary gland: 10.5;testis: 6.3;thyroid gland: 19.1
1686,COLEC10,Group enriched,liver: 51.2;placenta: 26.0
1687,COLEC11,Tissue enhanced,gallbladder: 102.0
1688,COLEC12,Tissue enhanced,placenta: 28.2
1689,COLGALT2,Tissue enriched,cerebral cortex: 46.4
1690,COLQ,Tissue enhanced,parathyroid gland: 19.4
1691,COMMD3-BMI1,Tissue enhanced,testis: 10.2
1692,COMP,Tissue enhanced,gallbladder: 24.5
1693,COQ8A,Tissue enriched,skeletal muscle: 401.8
1694,CORIN,Tissue enhanced,heart muscle: 38.6
1695,CORO2B,Tissue enhanced,cerebral cortex: 73.3;fallopian tube: 36.7
1696,CORO6,Tissue enhanced,skeletal muscle: 127.5
1697,CORT,Tissue enriched,cerebral cortex: 24.8
1698,COX4I2,Group enriched,lung: 42.8;placenta: 157.5
1699,COX6A2,Group enriched,heart muscle: 687.3;skeletal muscle: 1846.8
1700,COX6B2,Tissue enriched,testis: 74.5
1701,COX7A1,Group enriched,heart muscle: 357.0;skeletal muscle: 1077.7
1702,COX7B2,Tissue enriched,testis: 148.8
1703,COX8C,Tissue enriched,testis: 29.7
1704,CP,Tissue enriched,liver: 916.0
1705,CPA1,Tissue enriched,pancreas: 48856.8
1706,CPA2,Tissue enriched,pancreas: 9283.9
1707,CPA3,Tissue enhanced,gallbladder: 173.9
1708,CPA4,Tissue enriched,skin: 67.8
1709,CPA5,Tissue enriched,testis: 47.4
1710,CPA6,Tissue enhanced,prostate: 4.9;rectum: 2.9
1711,CPAMD8,Tissue enhanced,prostate: 25.1;seminal vesicle: 52.1
1712,CPB1,Tissue enriched,pancreas: 47292.1
1713,CPB2,Tissue enriched,liver: 755.5
1714,CPEB1,Tissue enhanced,testis: 61.1
1715,CPEB2,Tissue enhanced,testis: 41.7
1716,CPHXL,Tissue enriched,testis: 1.0
1717,CPLX1,Tissue enriched,cerebral cortex: 60.2
1718,CPLX2,Tissue enhanced,cerebral cortex: 236.4;epididymis: 145.5
1719,CPLX3,Group enriched,prostate: 143.7;spleen: 74.6
1720,CPM,Tissue enhanced,adipose tissue: 164.0
1721,CPN1,Tissue enriched,liver: 37.1
1722,CPN2,Tissue enriched,liver: 113.6
1723,CPNE4,Tissue enhanced,cerebral cortex: 12.1;prostate: 40.8
1724,CPNE5,Tissue enhanced,cerebral cortex: 119.0
1725,CPNE6,Group enriched,cerebral cortex: 88.0;seminal vesicle: 35.2
1726,CPNE7,Tissue enhanced,epididymis: 23.6
1727,CPNE9,Tissue enriched,cerebral cortex: 12.6
1728,CPO,Tissue enriched,small intestine: 131.5
1729,CPS1,Group enriched,duodenum: 234.5;liver: 697.8;small intestine: 144.1
1730,CPT1C,Tissue enhanced,cerebral cortex: 34.2
1731,CPXCR1,Tissue enriched,testis: 11.5
1732,CPXM1,Tissue enhanced,endometrium: 130.4;gallbladder: 132.2
1733,CPXM2,Tissue enhanced,epididymis: 72.6;smooth muscle: 80.7
1734,CPZ,Tissue enhanced,ovary: 121.5
1735,CR1,Tissue enhanced,appendix: 37.5;spleen: 33.6
1736,CR2,Group enriched,appendix: 68.3;lymph node: 206.0;spleen: 100.2;tonsil: 153.8
1737,CRABP1,Tissue enhanced,thyroid gland: 269.2
1738,CRABP2,Tissue enriched,esophagus: 1042.5
1739,CRACR2B,Tissue enhanced,salivary gland: 120.0
1740,CRB1,Group enriched,cerebral cortex: 12.2;testis: 5.0
1741,CRB2,Tissue enhanced,cerebral cortex: 9.4
1742,CRCT1,Group enriched,esophagus: 84.0;skin: 82.8;tonsil: 17.6
1743,CREB3L3,Group enriched,duodenum: 241.6;liver: 61.0;small intestine: 278.7
1744,CREG2,Tissue enriched,cerebral cortex: 90.9
1745,CRH,Tissue enhanced,cerebral cortex: 2.1;placenta: 8.0
1746,CRHBP,Tissue enhanced,liver: 69.9;spleen: 42.2
1747,CRHR1,Tissue enhanced,cerebral cortex: 4.0
1748,CRHR2,Tissue enhanced,seminal vesicle: 1.7
1749,CRIP2,Tissue enhanced,heart muscle: 315.6
1750,CRIP3,Tissue enhanced,heart muscle: 15.9;testis: 15.5
1751,CRISP1,Tissue enriched,epididymis: 1915.6
1752,CRISP2,Tissue enriched,testis: 853.2
1753,CRISP3,Tissue enhanced,fallopian tube: 1885.2;salivary gland: 915.8
1754,CRISPLD1,Tissue enhanced,prostate: 39.6
1755,CRLF1,Tissue enhanced,cerebral cortex: 17.2;placenta: 16.8
1756,CRLF2,Tissue enhanced,appendix: 2.1;gallbladder: 2.0
1757,CRMP1,Tissue enriched,cerebral cortex: 133.7
1758,CRNN,Tissue enriched,esophagus: 4518.8
