,Gene,RNA tissue category,RNA TS TPM
7154,TJP3,Tissue enhanced,duodenum: 41.5;small intestine: 41.3
7155,TKTL1,Tissue enriched,testis: 225.8
7156,TKTL2,Tissue enriched,testis: 103.8
7157,TLDC2,Tissue enhanced,duodenum: 19.0;small intestine: 20.1
7158,TLE6,Tissue enhanced,thyroid gland: 9.7
7159,TLL1,Tissue enhanced,placenta: 10.5
7160,TLL2,Tissue enhanced,cerebral cortex: 1.9
7161,TLN2,Tissue enhanced,cerebral cortex: 41.2;kidney: 41.1
7162,TLR10,Group enriched,appendix: 21.1;lymph node: 51.7;spleen: 34.7;tonsil: 45.1
7163,TLR2,Tissue enhanced,appendix: 52.7
7164,TLR8,Tissue enhanced,appendix: 23.2;lung: 15.6;spleen: 18.3
7165,TLR9,Tissue enhanced,lymph node: 3.0
7166,TLX1,Tissue enriched,spleen: 31.3
7167,TLX2,Tissue enhanced,adrenal gland: 2.7
7168,TM4SF19,Tissue enhanced,testis: 9.0
7169,TM4SF20,Group enriched,duodenum: 277.2;small intestine: 163.8
7170,TM4SF4,Group enriched,duodenum: 579.6;gallbladder: 1319.6;liver: 346.9;small intestine: 504.0
7171,TM4SF5,Group enriched,duodenum: 176.7;small intestine: 168.8
7172,TM6SF2,Group enriched,duodenum: 77.0;small intestine: 76.8
7173,TMC1,Tissue enhanced,"cervix, uterine: 1.6"
7174,TMC3,Tissue enriched,parathyroid gland: 252.6
7175,TMC4,Tissue enhanced,duodenum: 30.8
7176,TMC5,Tissue enhanced,small intestine: 59.1
7177,TMC7,Tissue enhanced,testis: 17.8
7178,TMC8,Tissue enhanced,lymph node: 118.8;spleen: 104.5
7179,TMCC2,Tissue enhanced,bone marrow: 52.4;cerebral cortex: 15.1
7180,TMCO2,Tissue enriched,testis: 188.7
7181,TMCO5A,Tissue enriched,testis: 123.0
7182,TMED6,Tissue enhanced,fallopian tube: 35.3;pancreas: 61.2;stomach: 37.5
7183,TMEFF1,Tissue enriched,cerebral cortex: 10.7
7184,TMEFF2,Tissue enhanced,cerebral cortex: 41.0;prostate: 64.1
7185,TMEM100,Tissue enhanced,lung: 131.2;placenta: 78.3
7186,TMEM105,Tissue enhanced,thyroid gland: 1.0
7187,TMEM108,Tissue enhanced,cerebral cortex: 21.9;testis: 25.8
7188,TMEM110-MUSTN1,Tissue enhanced,skeletal muscle: 11.1
7189,TMEM114,Tissue enriched,seminal vesicle: 28.7
7190,TMEM116,Tissue enhanced,parathyroid gland: 57.3
7191,TMEM119,Tissue enhanced,"cervix, uterine: 93.0"
7192,TMEM121,Tissue enhanced,cerebral cortex: 4.8
7193,TMEM125,Tissue enhanced,lung: 113.7
7194,TMEM130,Group enriched,adrenal gland: 49.1;cerebral cortex: 183.0;testis: 70.7
7195,TMEM132A,Tissue enhanced,cerebral cortex: 94.2
7196,TMEM132B,Tissue enriched,cerebral cortex: 21.8
7197,TMEM132C,Tissue enhanced,"adipose tissue: 34.8;cervix, uterine: 24.1"
7198,TMEM132D,Tissue enriched,cerebral cortex: 12.3
7199,TMEM132E,Group enriched,cerebral cortex: 4.8;duodenum: 1.7;kidney: 3.2;small intestine: 1.0;testis: 1.5
7200,TMEM139,Tissue enhanced,duodenum: 34.0;kidney: 34.6
7201,TMEM143,Tissue enhanced,skeletal muscle: 32.5
7202,TMEM144,Tissue enhanced,cerebral cortex: 90.5
7203,TMEM145,Tissue enriched,cerebral cortex: 38.3
7204,TMEM150B,Tissue enhanced,duodenum: 69.8;small intestine: 66.5
